x y s dx dy
1052.58 1169.05 273.702 0.379537 -0.925177
1053.47 1169.42 274.662 0.380846 -0.924639
1054.36 1169.79 275.623 0.382348 -0.924018
1055.25 1170.15 276.583 0.383768 -0.92343
1056.13 1170.52 277.543 0.384994 -0.922919
1057.02 1170.89 278.503 0.386028 -0.922487
1057.91 1171.26 279.464 0.386869 -0.922135
1058.79 1171.63 280.424 0.387518 -0.921862
1059.68 1172 281.384 0.387974 -0.92167
1060.56 1172.38 282.345 0.388216 -0.921568
1061.45 1172.75 283.305 0.38811 -0.921613
1062.33 1173.12 284.266 0.387605 -0.921825
1063.22 1173.5 285.226 0.386703 -0.922204
1064.1 1173.87 286.186 0.385401 -0.922749
1064.99 1174.24 287.147 0.383699 -0.923458
1065.88 1174.61 288.107 0.381597 -0.924329
1066.76 1174.97 289.067 0.379352 -0.925252
1067.65 1175.34 290.027 0.378405 -0.92564
1068.54 1175.7 290.986 0.379252 -0.925293
1069.43 1176.06 291.946 0.381889 -0.924208
1070.32 1176.43 292.906 0.386308 -0.92237
1071.2 1176.8 293.866 0.392494 -0.919754
1072.09 1177.18 294.827 0.400426 -0.916329
1072.97 1177.56 295.789 0.408987 -0.91254
1073.84 1177.96 296.752 0.412647 -0.910891
1074.72 1178.35 297.715 0.409676 -0.912231
1075.6 1178.75 298.677 0.400032 -0.916501
1076.48 1179.13 299.639 0.383587 -0.923505
1077.37 1179.5 300.599 0.360143 -0.932897
1078.26 1179.85 301.558 0.329478 -0.944163
1079.17 1180.16 302.516 0.293514 -0.955955
1080.08 1180.44 303.473 0.262346 -0.964974
1081.01 1180.69 304.432 0.239191 -0.970972
1081.94 1180.92 305.393 0.224175 -0.974549
1082.88 1181.14 306.355 0.21734 -0.976096
1083.82 1181.35 307.317 0.218694 -0.975794
1084.76 1181.56 308.279 0.227246 -0.973837
1085.69 1181.78 309.241 0.236114 -0.971725
1086.63 1182.01 310.202 0.242378 -0.970182
1087.56 1182.24 311.162 0.246032 -0.969262
1088.49 1182.47 312.122 0.247077 -0.968996
1089.42 1182.71 313.082 0.245515 -0.969393
1090.35 1182.95 314.042 0.241614 -0.970373
1091.28 1183.18 315.001 0.238234 -0.971208
1092.21 1183.41 315.961 0.237093 -0.971487
1093.15 1183.63 316.921 0.238215 -0.971213
1094.08 1183.86 317.882 0.241596 -0.970377
1095.01 1184.1 318.842 0.247227 -0.968957
1095.94 1184.33 319.803 0.254829 -0.966986
1096.87 1184.58 320.764 0.259884 -0.96564
1097.8 1184.83 321.726 0.258666 -0.965967
1098.73 1185.08 322.687 0.251048 -0.967975
1099.66 1185.32 323.648 0.236971 -0.971517
1100.59 1185.55 324.608 0.216344 -0.976317
1101.53 1185.75 325.567 0.189254 -0.981928
1102.47 1185.93 326.526 0.161241 -0.986915
1103.41 1186.09 327.484 0.138813 -0.990319
1104.36 1186.22 328.444 0.122395 -0.992482
1105.32 1186.34 329.405 0.112007 -0.993707
1106.27 1186.45 330.366 0.10765 -0.994189
1107.23 1186.55 331.328 0.109322 -0.994006
1108.19 1186.66 332.29 0.116207 -0.993225
1109.14 1186.77 333.251 0.123254 -0.992375
1110.09 1186.89 334.211 0.128535 -0.991705
1111.05 1187.01 335.172 0.132045 -0.991244
1112 1187.14 336.132 0.133785 -0.99101
1112.95 1187.26 337.092 0.133754 -0.991015
1113.9 1187.39 338.052 0.131962 -0.991255
1114.85 1187.52 339.012 0.129328 -0.991602
1115.8 1187.64 339.972 0.127561 -0.991831
1116.76 1187.77 340.932 0.126845 -0.991923
1117.71 1187.89 341.892 0.127181 -0.99188
1118.66 1188.01 342.853 0.128568 -0.991701
1119.61 1188.13 343.813 0.131005 -0.991382
1120.57 1188.26 344.774 0.134312 -0.990939
1121.52 1188.39 345.734 0.13647 -0.990644
1122.47 1188.52 346.695 0.136215 -0.990679
1123.42 1188.65 347.655 0.133529 -0.991045
1124.37 1188.78 348.616 0.128406 -0.991722
1125.33 1188.9 349.576 0.12084 -0.992672
1126.28 1189.02 350.536 0.110823 -0.99384
1127.23 1189.12 351.496 0.0992611 -0.995061
1128.19 1189.22 352.456 0.0889662 -0.996035
1129.14 1189.31 353.416 0.0804853 -0.996756
1130.1 1189.38 354.377 0.073823 -0.997271
1131.06 1189.45 355.337 0.0689812 -0.997618
1132.02 1189.52 356.297 0.0659606 -0.997822
1132.98 1189.58 357.258 0.0647612 -0.997901
1133.93 1189.65 358.219 0.0653832 -0.99786
1134.89 1189.71 359.179 0.0677862 -0.9977
1135.85 1189.77 360.14 0.0708825 -0.997485
1136.81 1189.84 361.1 0.0734832 -0.997296
1137.77 1189.91 362.061 0.075528 -0.997144
1138.72 1189.98 363.021 0.077017 -0.99703
1139.68 1190.06 363.981 0.0779503 -0.996957
1140.64 1190.13 364.941 0.0783279 -0.996928
1141.6 1190.21 365.902 0.0781498 -0.996942
1142.55 1190.28 366.862 0.0774159 -0.996999
1143.51 1190.36 367.822 0.0762224 -0.997091
1144.47 1190.43 368.782 0.0751864 -0.997169
1145.43 1190.5 369.743 0.0745516 -0.997217
1146.38 1190.58 370.703 0.0743188 -0.997235
1147.34 1190.65 371.663 0.0744879 -0.997222
1148.3 1190.72 372.624 0.0750588 -0.997179
1149.26 1190.79 373.584 0.0760316 -0.997105
1150.21 1190.86 374.544 0.0774062 -0.997
1151.17 1190.94 375.505 0.0791797 -0.99686
1152.13 1191.01 376.465 0.0809195 -0.996721
1153.09 1191.09 377.425 0.0817215 -0.996655
1154.04 1191.17 378.386 0.0814723 -0.996676
1155 1191.25 379.346 0.0801717 -0.996781
1155.96 1191.32 380.306 0.0778193 -0.996967
1156.91 1191.4 381.266 0.0744142 -0.997227
1157.87 1191.47 382.227 0.0699557 -0.99755
1158.83 1191.54 383.187 0.0644427 -0.997921
1159.79 1191.6 384.147 0.0579691 -0.998318
1160.75 1191.66 385.107 0.0519395 -0.99865
1161.71 1191.71 386.067 0.0474315 -0.998874
1162.66 1191.75 387.028 0.0444733 -0.999011
1163.62 1191.79 387.988 0.0430651 -0.999072
1164.58 1191.84 388.948 0.0432069 -0.999066
1165.54 1191.88 389.909 0.0446749 -0.999002
1166.5 1191.92 390.869 0.0461832 -0.998933
1167.46 1191.96 391.829 0.0472731 -0.998882
1168.42 1192.01 392.79 0.047944 -0.99885
1169.38 1192.06 393.75 0.048196 -0.998838
1170.34 1192.1 394.71 0.0480295 -0.998846
1171.3 1192.15 395.67 0.0475841 -0.998867
1172.26 1192.19 396.631 0.0472104 -0.998885
1173.22 1192.24 397.591 0.0469624 -0.998897
1174.18 1192.28 398.551 0.0468402 -0.998902
1175.14 1192.33 399.512 0.0468438 -0.998902
1176.09 1192.37 400.472 0.0469701 -0.998896
1177.05 1192.42 401.432 0.0471273 -0.998889
1178.01 1192.46 402.392 0.0472065 -0.998885
1178.97 1192.51 403.353 0.0472017 -0.998885
1179.93 1192.55 404.313 0.0471128 -0.99889
1180.89 1192.6 405.273 0.0469399 -0.998898
1181.85 1192.65 406.234 0.0466916 -0.998909
1182.81 1192.69 407.194 0.0464545 -0.99892
1183.77 1192.73 408.154 0.0462772 -0.998929
1184.73 1192.78 409.114 0.0461603 -0.998934
1185.69 1192.82 410.075 0.0461038 -0.998937
1186.65 1192.87 411.035 0.0461077 -0.998936
1187.61 1192.91 411.995 0.0461721 -0.998933
1188.56 1192.96 412.956 0.0462838 -0.998928
1189.52 1193 413.916 0.0463672 -0.998924
1190.48 1193.05 414.876 0.046395 -0.998923
1191.44 1193.09 415.837 0.0463673 -0.998924
1192.4 1193.13 416.797 0.046284 -0.998928
1193.36 1193.18 417.757 0.0461452 -0.998935
1194.32 1193.22 418.717 0.0459508 -0.998944
1195.28 1193.27 419.678 0.0457416 -0.998953
1196.24 1193.31 420.638 0.0456621 -0.998957
1197.2 1193.36 421.598 0.0457445 -0.998953
1198.16 1193.4 422.559 0.0459887 -0.998942
1199.12 1193.44 423.519 0.0463948 -0.998923
1200.08 1193.49 424.479 0.0469627 -0.998897
1201.04 1193.53 425.439 0.0476913 -0.998862
1201.99 1193.58 426.4 0.0483666 -0.99883
1202.95 1193.63 427.36 0.0485139 -0.998823
1203.91 1193.67 428.32 0.0480696 -0.998844
1204.87 1193.72 429.281 0.0470335 -0.998893
1205.83 1193.76 430.241 0.0454056 -0.998969
1206.79 1193.81 431.201 0.0431857 -0.999067
1207.75 1193.85 432.162 0.0403832 -0.999184
1208.71 1193.89 433.122 0.0374659 -0.999298
1209.67 1193.92 434.082 0.0351013 -0.999384
1210.63 1193.96 435.042 0.0333406 -0.999444
1211.59 1193.99 436.003 0.032184 -0.999482
1212.55 1194.02 436.963 0.0316316 -0.9995
1213.51 1194.05 437.923 0.0316833 -0.999498
1214.47 1194.08 438.884 0.0323363 -0.999477
1215.43 1194.11 439.844 0.0332895 -0.999446
1216.39 1194.14 440.804 0.0339786 -0.999423
1217.35 1194.18 441.765 0.0343415 -0.99941
1218.31 1194.21 442.725 0.0343784 -0.999409
1219.27 1194.24 443.685 0.0340891 -0.999419
1220.23 1194.27 444.646 0.0334737 -0.99944
1221.19 1194.31 445.606 0.0325329 -0.999471
